               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12394,            0.027834,                   0,           0.0002328,             0.02965,          0.00012434,          2.3918e-05,             0.10343,            0.025603,                   0,              0.0829,              0.0019,              0.0019
                   1,             0.11564,            0.021384,                   0,          0.00040212,            0.051213,          0.00023403,          5.2824e-05,            0.096517,            0.023437,                   0,            0.064861,           0.0038614,           0.0038614
                   2,             0.10498,            0.020805,                   0,          0.00071958,            0.091644,          0.00057253,          0.00013522,            0.088882,             0.02213,                   0,            0.046783,           0.0057832,           0.0057832
                   3,            0.097139,            0.021684,                   0,           0.0036296,             0.46226,            0.023441,           0.0068774,            0.078057,            0.021546,                   0,            0.028665,           0.0076654,           0.0076654
                   4,            0.089868,            0.019631,                   0,            0.024402,              0.1159,             0.01276,           0.0023475,            0.091424,              0.0199,                   0,            0.010508,            0.009508,            0.009508
                   5,            0.086258,            0.017019,                   0,             0.22345,             0.29515,             0.13549,            0.033348,             0.07294,            0.029636,                   0,            0.009505,            0.009505,            0.009505
                   6,            0.080666,            0.017437,                   0,             0.17434,             0.28032,             0.10384,            0.021792,            0.066131,             0.02609,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.076733,            0.016782,                   0,             0.35634,              0.4407,              0.2687,            0.067916,            0.064311,            0.025408,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.072754,            0.015904,                   0,             0.22358,              0.4434,              0.1585,            0.035608,            0.063925,            0.020939,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.067792,            0.014357,                   0,             0.32387,             0.48248,             0.27502,            0.078563,            0.058021,            0.020169,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.067141,            0.014206,                   0,             0.51092,             0.51887,             0.41278,             0.10681,            0.054466,            0.020856,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.067707,            0.014201,                   0,             0.44232,             0.61051,             0.44127,             0.13563,            0.050936,            0.016347,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.062094,            0.013598,                   0,             0.68443,             0.58753,             0.60344,             0.20121,            0.049204,            0.016617,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.058017,            0.013305,                   0,             0.63234,              0.6212,             0.56391,             0.15552,            0.053753,              0.0148,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.059723,            0.012366,                   0,             0.66957,             0.72372,             0.67434,              0.2291,            0.048973,             0.01361,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.060019,            0.012187,                   0,             0.78714,             0.70485,             0.72489,             0.21888,            0.048684,            0.013175,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.059421,            0.012061,                   0,             0.73738,             0.70081,             0.73573,             0.23319,             0.05053,            0.013267,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.060328,            0.012017,                   0,             0.75815,             0.77735,             0.72588,              0.2242,            0.047286,            0.012315,                   0,            0.008416,            0.008416,            0.008416
                  18,             0.05759,            0.012207,                   0,             0.85299,             0.81941,             0.85462,             0.32168,            0.040968,            0.012779,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.053824,            0.011798,                   0,             0.83961,             0.76902,             0.75823,             0.25267,            0.048274,            0.011522,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.056184,            0.010989,                   0,             0.87153,             0.80458,             0.84592,             0.29794,            0.041147,            0.011902,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.052677,            0.010879,                   0,             0.90433,             0.82884,             0.88367,             0.36891,             0.04074,            0.011014,                   0,             0.00802,             0.00802,             0.00802
