               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,             0.04002,            0.015618,                   0,              0.8918,             0.87837,             0.90034,             0.40164,            0.032833,            0.015584,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.040717,            0.014888,                   0,             0.88751,             0.87998,             0.90145,             0.40584,            0.032913,            0.015589,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.041109,            0.015577,                   0,             0.88685,             0.87043,             0.89134,             0.39349,            0.033195,            0.015713,                   0,             0.00604,             0.00604,             0.00604
                  42,             0.03983,            0.013819,                   0,             0.90182,              0.8744,             0.90564,             0.40915,            0.032867,            0.015585,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.041903,            0.015479,                   0,              0.8962,             0.88269,             0.90588,             0.40813,             0.03266,            0.015542,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.040816,             0.01538,                   0,             0.89781,             0.88282,             0.90791,             0.41252,            0.033057,            0.015492,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.040994,            0.015007,                   0,             0.90172,             0.86202,             0.89621,             0.41263,            0.031908,            0.015461,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.039819,            0.014644,                   0,             0.89676,             0.88951,              0.9036,             0.41636,            0.031792,            0.015386,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.039545,            0.014557,                   0,             0.90594,             0.89367,             0.91485,             0.42153,            0.031498,            0.015403,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.039367,            0.015083,                   0,             0.90122,             0.88317,             0.90666,             0.41314,            0.032084,            0.015389,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.039425,            0.014286,                   0,             0.91005,             0.88044,             0.91161,             0.41559,            0.031633,            0.015342,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.039181,            0.014925,                   0,             0.90425,              0.8899,             0.90982,             0.42072,            0.030985,            0.015195,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.038645,             0.01476,                   0,             0.90563,             0.88413,             0.90514,             0.41459,            0.031587,            0.015328,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.039514,            0.014575,                   0,             0.89867,             0.88942,             0.90994,             0.42075,            0.031538,            0.015174,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.038701,            0.014342,                   0,             0.89743,             0.89327,             0.91142,             0.41446,            0.031181,            0.015219,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.039343,             0.01494,                   0,             0.90683,              0.8984,             0.91503,             0.42591,            0.030801,            0.015027,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.037997,             0.01359,                   0,             0.90532,             0.89856,             0.91792,             0.43198,            0.030979,            0.014913,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.038813,             0.01455,                   0,             0.90305,             0.88942,             0.91864,             0.43585,            0.030424,            0.014908,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.038898,            0.015287,                   0,             0.91482,             0.89324,             0.92565,              0.4348,            0.029615,            0.014884,                   0,            0.004456,            0.004456,            0.004456
                  58,             0.03688,            0.013859,                   0,             0.90595,             0.88894,             0.91871,             0.43609,            0.030443,             0.01483,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.038016,            0.014118,                   0,             0.89782,             0.88294,             0.90827,             0.43329,            0.029423,            0.014888,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.037067,              0.0137,                   0,             0.91513,             0.88413,             0.91887,             0.44023,            0.029203,             0.01488,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.039446,            0.014337,                   0,             0.90651,             0.89519,             0.92086,             0.44385,             0.02953,            0.014846,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.037417,            0.012809,                   0,             0.91109,              0.8917,              0.9218,             0.44365,            0.029954,            0.014828,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.037716,             0.01463,                   0,             0.91143,             0.89663,             0.92176,             0.44147,            0.029916,             0.01478,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.036962,            0.014436,                   0,              0.9182,             0.88504,             0.92422,             0.44646,            0.029442,            0.014657,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.037593,            0.014897,                   0,             0.91939,             0.89377,             0.92456,             0.44907,            0.028846,            0.014583,                   0,            0.003664,            0.003664,            0.003664
                  66,              0.0368,            0.013602,                   0,             0.92442,             0.89385,             0.92743,             0.45142,            0.028431,            0.014559,                   0,            0.003565,            0.003565,            0.003565
